white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
Alireza_rst0074,biagiobiagin92,2042,2158,0-1,Queen's Pawn Game: London System,D02,https://lichess.org/FFn9epZC,180+0,Normal
SackofSasquatch,SilentHero,2191,2249,1/2-1/2,French Defense #2,C00,https://lichess.org/GQILS7lW,60+0,Normal
Blitzki,ADNDADN,2237,2311,1/2-1/2,Indian Game,A45,https://lichess.org/Ni42gbx0,60+2,Normal
mamurik,Cranken,2031,2270,1-0,Sicilian Defense: Four Knights Variation,B45,https://lichess.org/s8i4FPoy,300+0,Normal
Aurorachess11,par40,1808,2222,0-1,Mieses Opening,A00,https://lichess.org/0loDtHnm,60+0,Time forfeit
patatoide64,liparrene,2097,2001,1-0,Owen Defense,B00,https://lichess.org/8PeWGsq0,60+0,Time forfeit
popolesimi,VavaOcel,2235,2071,1-0,Indian Game,A45,https://lichess.org/lJ6GY9j3,90+1,Time forfeit
frozen_shadow,jonhybabyrossi,2040,2170,1-0,Four Knights Game: Double Spanish,C49,https://lichess.org/tYloW8kj,300+0,Normal
paulovskj,Tinhau,2494,2303,1-0,Four Knights Game: Spanish Variation,C48,https://lichess.org/f7zRIhyz,60+0,Normal
Silahtar,el_chimpo,1995,2175,0-1,Mikenas Defense,A40,https://lichess.org/bkCdEop9,180+0,Time forfeit
olowobaba,Chesspirate421,2065,2380,0-1,Queen's Pawn Game #2,D00,https://lichess.org/ixHemLFJ,60+0,Time forfeit
themurdercastle,TheJudgeTruth,2575,2477,1-0,Nimzo-Larsen Attack,A01,https://lichess.org/QNkNS3vr,30+0,Time forfeit
de3,operadora,2277,1950,1-0,Saragossa Opening,A00,https://lichess.org/bGZJtq9A,30+0,Time forfeit
raskerino,NueveReinas,2318,2293,1-0,Pirc Defense: Kholmov System,B07,https://lichess.org/SqGeFNOz,60+1,Time forfeit
eurostar,dariel,2047,2046,1/2-1/2,French Defense: Rubinstein Variation,C10,https://lichess.org/FGjwbGpS,60+0,Time forfeit
