white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
Wallerdos,chilico,1763,2010,0-1,?,?,https://lichess.org/npDpU5Pm,300+0,Abandoned
shadowtiger,BillDecant5,1677,1669,1-0,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/OWLzXHxG,300+0,Normal
communist23,adrielpavan,1959,1879,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/1dEnOHWF,60+0,Normal
Bayron7,Toutatis,1764,1751,1-0,English Defense #2,A40,https://lichess.org/t9YpbMkr,60+0,Normal
Fabio77,fullmetall,1554,1599,0-1,Philidor Defense #3,C41,https://lichess.org/yPzk1caC,300+5,Normal
Nomel,Rikzz,1744,1730,0-1,Queen's Gambit Refused: Albin Countergambit,D08,https://lichess.org/FqY0zOFT,300+0,Normal
RickoCaro,italia-germania4-3,2013,1899,0-1,"Four Knights Game: Spanish Variation, Classical Variation",C48,https://lichess.org/y6EYTCqx,180+0,Time forfeit
cagtay,zeta16,1863,1746,1-0,Zukertort Opening: Tennison Gambit,A06,https://lichess.org/O4Y9LpCB,180+0,Time forfeit
ChuNNev,zapatilla,1620,1737,0-1,Queen's Pawn Game: Mason Attack,D00,https://lichess.org/USQEQ0TA,180+0,Normal
Kaipora,GeorgesHabitbol,1644,1540,1-0,Polish Opening: Dutch Defense,A00,https://lichess.org/PUwPuyr6,300+0,Normal
Supercerebraco,Zenone,1727,1727,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/HDMFQL2I,300+0,Time forfeit
skf91,jcubas,1619,1548,1-0,"Queen's Gambit Refused: Baltic Defense, Pseudo-Slav",D02,https://lichess.org/Ye1yRUfo,60+0,Time forfeit
alekstone,jfinfantes,1572,1373,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/0Ckyd42A,60+0,Time forfeit
gtrig,SlicedBrain,1940,1900,1/2-1/2,Hungarian Opening: Symmetrical Variation,A00,https://lichess.org/YukbvM7G,30+0,Normal
salvador333,dipo_a,1733,1575,0-1,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/aqHXBdx5,360+0,Time forfeit
jvm123,yentel,1672,1555,1-0,Philidor Defense #2,C41,https://lichess.org/xb8244kV,240+0,Normal
zeitgeist_kaal,Exar,1706,1771,1-0,Sicilian Defense: Old Sicilian,B30,https://lichess.org/pY75WLon,60+1,Normal
yeellow,donerizo,2034,1930,0-1,Sicilian Defense,B20,https://lichess.org/Zgw457KQ,180+0,Normal
horseyhat,jschess,1739,1969,0-1,Bishop's Opening: Calabrese Countergambit,C23,https://lichess.org/2zG8P32z,300+0,Normal
mayconce,mostafa191919,2001,1728,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/4cROvrIy,300+0,Normal
Hamyltonbpa,racingclub,1687,1693,0-1,King's Pawn Game: Macleod Attack,C20,https://lichess.org/Q8qDvJd9,720+0,Normal
chessace,Dynym,1647,1665,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/4ElNCLGq,180+3,Time forfeit
brius343,MartinDevenney,1629,1842,0-1,"Pirc Defense: Classical Variation, Quiet System",B08,https://lichess.org/DfyjyIfX,300+0,Normal
fendo59,Chrisfischer,1675,1630,0-1,"French Defense: Advance Variation, Nimzowitsch System",C02,https://lichess.org/dABRLySZ,120+1,Normal
rodick,doradense,1610,1812,0-1,Queen's Pawn,A41,https://lichess.org/0DtErMH6,600+5,Normal
Alex_22,LeonardoPSG95,2035,1577,1-0,Philidor Defense,C41,https://lichess.org/JzVmdQ5f,60+0,Normal
i2hi2play,Finland,1442,1558,1-0,English Defense #2,A40,https://lichess.org/3buhWOt9,300+0,Normal
Circa82,Ushisan,1275,1790,0-1,"Sicilian Defense: Dragon Variation, Classical Variation #2",B72,https://lichess.org/WU3epEde,60+0,Time forfeit
zouhir,moacir,1651,1614,1/2-1/2,Queen's Pawn Game #2,D00,https://lichess.org/ZU3Rt2vI,60+1,Normal
Peon__mal0,DanielGonzales,1721,1841,1-0,Four Knights Game: Scotch Variation Accepted,C47,https://lichess.org/qZgR8y5f,180+0,Normal
helmutLipfert6,CtrlAltDelicious,1639,2051,0-1,Sicilian Defense: McDonnell Attack,B21,https://lichess.org/y6LcGxK1,60+0,Time forfeit
marcomar,projeto,1789,1700,0-1,Hungarian Opening,A00,https://lichess.org/Nuh7SpMo,120+8,Normal
Perfectit,ceccafili,1770,1832,0-1,Ware Opening,A00,https://lichess.org/TpcJxXze,1200+8,Normal
sieniek,Peapop,1628,1655,1-0,Philidor Defense #3,C41,https://lichess.org/qQLKta3c,300+3,Normal
paulpalacios,yorwaxed,1854,1861,1-0,Scandinavian Defense: Modern Variation #2,B01,https://lichess.org/zu4OhM8G,300+0,Normal
Xykko,rikpal,1612,1777,1-0,Pirc Defense #4,B07,https://lichess.org/hSL7g3KA,240+0,Normal
hax123,Benoitsky,1903,1857,0-1,King's Indian Defense: Accelerated Averbakh Variation,E70,https://lichess.org/xWjLpS2Z,300+0,Normal
chalomaria,rodribal,1999,1875,1-0,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/buGUt4jj,600+0,Normal
bichopebitou,mate_amargo,1622,1664,1-0,Nimzo-Larsen Attack,A01,https://lichess.org/NSJizMgM,60+0,Time forfeit
CheckersMan,nortonattack,1805,1897,1-0,Slav Defense #2,D10,https://lichess.org/XJWT7mjU,600+0,Normal
Arsen-Shahunts,cesarmamani79,1874,1826,1-0,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,https://lichess.org/qCat7UH8,0+1,Time forfeit
sadrazam,Krangg,1537,1436,1-0,Dutch Defense,A80,https://lichess.org/k1DVpy2v,180+0,Time forfeit
sabac,alrawy,1672,2047,0-1,Hungarian Opening: Indian Defense,A00,https://lichess.org/66rfKgn6,600+0,Normal
GameofFrowns,skituljko13,1916,1806,1-0,French Defense: Knight Variation,C00,https://lichess.org/IVkqIAnK,600+0,Time forfeit
Ignorante,Richard2,1763,1759,1-0,Queen's Gambit Refused: Austrian Defense,D06,https://lichess.org/YeGBOhqx,120+0,Normal
mikjmr26,mtnmcallister,1782,1383,1-0,Caro-Kann Defense,B10,https://lichess.org/reGfdak8,300+0,Normal
rorolatourmente,hg1015,1796,2156,0-1,Caro-Kann Defense,B10,https://lichess.org/62CT4Ftj,180+0,Normal
Aladinek,farbod1,1957,1760,1/2-1/2,Ruy Lopez: Morphy Defense,C78,https://lichess.org/NPtcSg4C,180+2,Normal
ParsIran,abdo_7oss,1649,1887,0-1,Sicilian Defense: Open #3,B32,https://lichess.org/pjv2JEls,180+0,Normal
Maradona86,georgemguitarist,1873,1805,1-0,Queen's Gambit Declined: Queen's Knight Variation,D31,https://lichess.org/Qfn1PVWE,240+0,Normal
hnabhan,yaraos,1790,1278,1-0,Petrov's Defense,C42,https://lichess.org/IfOeHMHV,-,Normal
paerstymer,MrLegilimens,1670,1629,0-1,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/abQVelu2,60+0,Time forfeit
grasshopper,decidement,1806,2005,1-0,Hungarian Opening,A00,https://lichess.org/o1wgrv4Z,60+0,Normal
giumag,Mejentyrty,1444,1875,0-1,Queen's Pawn Game: Symmetrical Variation,D02,https://lichess.org/DCYHPEw7,300+0,Time forfeit
Aristote69,rich21,1681,1257,1-0,Russian Game: Three Knights Game,C42,https://lichess.org/ill7RXcQ,180+5,Normal
Kambalass,derBomber,1792,1635,1-0,French Defense: King's Indian Attack,C00,https://lichess.org/Zip7AgLN,300+0,Time forfeit
holosplay,kmk74,1412,1579,1/2-1/2,Nimzo-Larsen Attack,A01,https://lichess.org/BTzOw00I,600+0,Normal
ASADcz,Kastell10,1789,1737,0-1,Nimzo-Larsen Attack,A01,https://lichess.org/QzPKtSpU,120+0,Time forfeit
slobodan0808,EamonMont,1470,1843,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/WWxIDqNA,300+0,Normal
