white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
Wallerdos,chilico,1763,2010,0-1,?,?,https://lichess.org/npDpU5Pm,300+0,Abandoned,,,blitz,,,,,1467,105,1303,,,blitz,2003.0,2092.0,2111.0,,25662,1220,12853
shadowtiger,BillDecant5,1677,1669,1-0,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/OWLzXHxG,300+0,Normal,,,unknown,,,,,0,0,0,,,rapid,,,,,1756,146,2010
communist23,adrielpavan,1959,1879,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/1dEnOHWF,60+0,Normal,,,bullet,2491.0,2301.0,,,19441,1128,13107,,,bullet,,,,,970,93,956
Bayron7,Toutatis,1764,1751,1-0,English Defense #2,A40,https://lichess.org/t9YpbMkr,60+0,Normal,,,bullet,,,,,2928,84,3035,,,unknown,,,,,0,0,0
Fabio77,fullmetall,1554,1599,0-1,Philidor Defense #3,C41,https://lichess.org/yPzk1caC,300+5,Normal,,,rapid,,,,,535,21,373,,,rapid,,,,,956,147,1245
Nomel,Rikzz,1744,1730,0-1,Queen's Gambit Refused: Albin Countergambit,D08,https://lichess.org/FqY0zOFT,300+0,Normal,,,bullet,,,,,545,52,658,,,puzzle,,,,,1302,97,744
RickoCaro,italia-germania4-3,2013,1899,0-1,"Four Knights Game: Spanish Variation, Classical Variation",C48,https://lichess.org/y6EYTCqx,180+0,Time forfeit,,,blitz,,1972.0,,,23815,646,15133,,,unknown,,,,,0,0,0
cagtay,zeta16,1863,1746,1-0,Zukertort Opening: Tennison Gambit,A06,https://lichess.org/O4Y9LpCB,180+0,Time forfeit,,,bullet,,,,,13696,643,13259,,,blitz,,,,,2406,317,3769
ChuNNev,zapatilla,1620,1737,0-1,Queen's Pawn Game: Mason Attack,D00,https://lichess.org/USQEQ0TA,180+0,Normal,,,blitz,,,,,1945,108,2054,,,blitz,,,,,5257,701,5728
Kaipora,GeorgesHabitbol,1644,1540,1-0,Polish Opening: Dutch Defense,A00,https://lichess.org/PUwPuyr6,300+0,Normal,,,unknown,,,,,0,0,0,,,bullet,1503.0,1843.0,,,9602,411,9507
Supercerebraco,Zenone,1727,1727,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/HDMFQL2I,300+0,Time forfeit,,,blitz,1983.0,1971.0,2066.0,,58816,6106,60158,,,puzzle,1942.0,1825.0,2226.0,,12331,1170,11500
skf91,jcubas,1619,1548,1-0,"Queen's Gambit Refused: Baltic Defense, Pseudo-Slav",D02,https://lichess.org/Ye1yRUfo,60+0,Time forfeit,,,bullet,,,,,572,50,951,,,blitz,,,,,19532,1733,22052
alekstone,jfinfantes,1572,1373,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/0Ckyd42A,60+0,Time forfeit,,,bullet,2011.0,1781.0,,,89849,7891,81615,,,bullet,,,,,1287,25,2570
gtrig,SlicedBrain,1940,1900,1/2-1/2,Hungarian Opening: Symmetrical Variation,A00,https://lichess.org/YukbvM7G,30+0,Normal,,,bullet,1881.0,,,,9658,1133,14419,,,bullet,1858.0,,,,37766,1427,39244
salvador333,dipo_a,1733,1575,0-1,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/aqHXBdx5,360+0,Time forfeit,,,rapid,,,,,588,31,604,,,blitz,,1716.0,,,1923,123,3527
jvm123,yentel,1672,1555,1-0,Philidor Defense #2,C41,https://lichess.org/xb8244kV,240+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,1757,132,2070
zeitgeist_kaal,Exar,1706,1771,1-0,Sicilian Defense: Old Sicilian,B30,https://lichess.org/pY75WLon,60+1,Normal,,,bullet,1562.0,1758.0,,,12918,498,14371,,,bullet,,,,,14747,705,12254
yeellow,donerizo,2034,1930,0-1,Sicilian Defense,B20,https://lichess.org/Zgw457KQ,180+0,Normal,,,bullet,2019.0,1892.0,,,4930,298,4981,,,blitz,1974.0,2001.0,,,16389,882,15506
horseyhat,jschess,1739,1969,0-1,Bishop's Opening: Calabrese Countergambit,C23,https://lichess.org/2zG8P32z,300+0,Normal,,,blitz,,1718.0,,,4686,468,6386,,,blitz,,,,,80,3,55
mayconce,mostafa191919,2001,1728,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/4cROvrIy,300+0,Normal,,,blitz,,,,,6644,528,3820,,,bullet,,,,,9589,569,11548
Hamyltonbpa,racingclub,1687,1693,0-1,King's Pawn Game: Macleod Attack,C20,https://lichess.org/Q8qDvJd9,720+0,Normal,,,rapid,,,1841.0,,7612,502,8259,,,rapid,,,1653.0,,5710,371,7410
chessace,Dynym,1647,1665,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/4ElNCLGq,180+3,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,2040.0,1967.0,,,35633,3872,35228
brius343,MartinDevenney,1629,1842,0-1,"Pirc Defense: Classical Variation, Quiet System",B08,https://lichess.org/DfyjyIfX,300+0,Normal,,,blitz,,1500.0,,,2165,131,2361,,,bullet,2109.0,1959.0,2219.0,2231.0,5734,498,4596
