white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
Alireza_rst0074,biagiobiagin92,2042,2158,0-1,Queen's Pawn Game: London System,D02,https://lichess.org/FFn9epZC,180+0,Normal,,,blitz,,,,,113,12,109,,,blitz,2231.0,2316.0,,,25533,3219,20707
SackofSasquatch,SilentHero,2191,2249,1/2-1/2,French Defense #2,C00,https://lichess.org/GQILS7lW,60+0,Normal,,,bullet,,,,,10710,568,8048,,,bullet,,,,,2072,139,554
Blitzki,ADNDADN,2237,2311,1/2-1/2,Indian Game,A45,https://lichess.org/Ni42gbx0,60+2,Normal,,,blitz,,,,,4981,445,2678,,,bullet,,,,,4342,1126,3573
mamurik,Cranken,2031,2270,1-0,Sicilian Defense: Four Knights Variation,B45,https://lichess.org/s8i4FPoy,300+0,Normal,,,blitz,,,,,3863,221,1807,,,blitz,,,,,10253,594,4830
Aurorachess11,par40,1808,2222,0-1,Mieses Opening,A00,https://lichess.org/0loDtHnm,60+0,Time forfeit,,,bullet,,,,,70726,5816,71732,,,bullet,2457.0,2204.0,,,39613,2076,15431
patatoide64,liparrene,2097,2001,1-0,Owen Defense,B00,https://lichess.org/8PeWGsq0,60+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,,,,,9603,690,7319
popolesimi,VavaOcel,2235,2071,1-0,Indian Game,A45,https://lichess.org/lJ6GY9j3,90+1,Time forfeit,,,bullet,,,,,2260,396,1852,,,unknown,,,,,0,0,0
frozen_shadow,jonhybabyrossi,2040,2170,1-0,Four Knights Game: Double Spanish,C49,https://lichess.org/tYloW8kj,300+0,Normal,,,blitz,2202.0,2408.0,2218.0,,41690,6580,39748,,,blitz,,,,,373,22,354
paulovskj,Tinhau,2494,2303,1-0,Four Knights Game: Spanish Variation,C48,https://lichess.org/f7zRIhyz,60+0,Normal,,,bullet,2590.0,,,,32504,1561,16525,,LM,bullet,2334.0,2257.0,,,15654,1056,18025
Silahtar,el_chimpo,1995,2175,0-1,Mikenas Defense,A40,https://lichess.org/bkCdEop9,180+0,Time forfeit,,,blitz,,,,,3826,337,5483,,,unknown,,,,,0,0,0
