white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
patatero,hichamsbitri,1334,1320,1-0,Queen's Pawn,A40,https://lichess.org/ivwkDdC3,300+0,Abandoned,,,blitz,,,,,211,14,677,,,bullet,1970.0,1882.0,,,14140,985,12668
Ayman22,daamien,1364,1414,1-0,Caro-Kann Defense: Two Knights Attack,B10,https://lichess.org/OIR2O8JN,300+0,Normal,,,puzzle,2204.0,2046.0,,,12333,1287,11041,,,bullet,1483.0,1645.0,1717.0,,17909,1247,17945
StriderChess,Cory37,1445,1347,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/s86rLkgu,60+0,Time forfeit,,,unknown,,,,,0,0,0,,,puzzle,,,,,36,1,66
Liamglaz,Sehs7,1309,1062,1-0,French Defense: Normal Variation,C00,https://lichess.org/UNZSyW8V,300+8,Time forfeit,,,blitz,,,,,557,30,470,,,rapid,,,,,778,66,1682
kennethberg,Roja,1431,1210,1-0,King's Pawn Game,C20,https://lichess.org/jpFavxB8,540+12,Normal,,,rapid,,,,,427,35,275,,,blitz,,904.0,,,1767,127,3350
jamontoast,playbyu,1360,1386,1-0,King's Pawn Game: Busch-Gass Gambit,C40,https://lichess.org/OwOz1wcx,900+0,Normal,,,puzzle,,,,,37,2,29,,,rapid,,,,,334,46,420
nrw09,VidVonell,1391,1283,1-0,Scandinavian Defense,B01,https://lichess.org/MvnQoPc5,900+0,Normal,,,rapid,,,,,133,16,184,,,rapid,,,,,394,53,775
doudou83,ruhe1,1309,1405,0-1,Sicilian Defense: Smith-Morra Gambit,B21,https://lichess.org/PthoZY1T,720+0,Normal,,,blitz,,,,,2741,157,3420,,,puzzle,,,,,208,9,222
AbdulUhrlichOrlich,Lepetitrenne,1283,1187,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/oDgmS5zW,600+5,Normal,,,bullet,,,,,1723,143,2624,,,puzzle,,,,,332,27,470
CaptchaSamurai,keskispass,1109,1259,1/2-1/2,Robatsch (Modern) Defense,B06,https://lichess.org/wXRrO9Fn,60+1,Normal,,,blitz,,,,,770,56,841,,,blitz,,,,,3444,259,4372
misifurki,TrOll_King_Guwop,1248,1357,1-0,Indian Game,A45,https://lichess.org/ey7rOAii,900+0,Time forfeit,,,rapid,,1180.0,1292.0,,3561,347,4183,,,rapid,,,,,50,3,23
Ryuzaky,ZainS,1343,1321,1-0,King's Pawn Game: Napoleon Attack,C20,https://lichess.org/I76qCmLw,300+5,Normal,,,rapid,,,,,302,20,670,,,blitz,,,,,244,32,414
mevikacci,beccorosso,1309,1319,0-1,Russian Game: Urusov Gambit,C42,https://lichess.org/pLEt0F08,1200+0,Normal,,,blitz,,1473.0,,,5261,457,6279,,,puzzle,,,,,7416,454,3541
enrico19960,Rafaguty,1330,1469,0-1,Caro-Kann Defense: Hillbilly Attack,B00,https://lichess.org/zenMFVBZ,600+0,Normal,,,unknown,,,,,0,0,0,,,rapid,,,,,819,55,592
Lochpots7424,superraf,1303,1160,1-0,Philidor Defense #2,C41,https://lichess.org/o6w97ePX,240+5,Normal,,,bullet,1483.0,1399.0,,,24594,744,22891,,,blitz,,,,,1414,139,1777
Nickolai,ehlicay,1386,1078,1-0,Zukertort Opening: Queen's Gambit Invitation,A04,https://lichess.org/8I89n5LS,420+5,Normal,,,puzzle,,,,,1385,112,1447,,,blitz,,827.0,,,528,139,1192
geo463,Blackout999,1355,1430,1-0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,https://lichess.org/vnBPFRbe,600+0,Normal,,,rapid,,,,,2549,166,2716,,,rapid,,,,,371,34,643
dom45,EnjoyThePie,1311,1278,0-1,Scotch Game,C44,https://lichess.org/iEbSXmeZ,180+0,Time forfeit,,,blitz,,1163.0,,,54456,1314,58457,,,unknown,,,,,0,0,0
