white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
patatero,hichamsbitri,1334,1320,1-0,Queen's Pawn,A40,https://lichess.org/ivwkDdC3,300+0,Abandoned
Ayman22,daamien,1364,1414,1-0,Caro-Kann Defense: Two Knights Attack,B10,https://lichess.org/OIR2O8JN,300+0,Normal
StriderChess,Cory37,1445,1347,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/s86rLkgu,60+0,Time forfeit
Liamglaz,Sehs7,1309,1062,1-0,French Defense: Normal Variation,C00,https://lichess.org/UNZSyW8V,300+8,Time forfeit
kennethberg,Roja,1431,1210,1-0,King's Pawn Game,C20,https://lichess.org/jpFavxB8,540+12,Normal
jamontoast,playbyu,1360,1386,1-0,King's Pawn Game: Busch-Gass Gambit,C40,https://lichess.org/OwOz1wcx,900+0,Normal
nrw09,VidVonell,1391,1283,1-0,Scandinavian Defense,B01,https://lichess.org/MvnQoPc5,900+0,Normal
doudou83,ruhe1,1309,1405,0-1,Sicilian Defense: Smith-Morra Gambit,B21,https://lichess.org/PthoZY1T,720+0,Normal
AbdulUhrlichOrlich,Lepetitrenne,1283,1187,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/oDgmS5zW,600+5,Normal
CaptchaSamurai,keskispass,1109,1259,1/2-1/2,Robatsch (Modern) Defense,B06,https://lichess.org/wXRrO9Fn,60+1,Normal
misifurki,TrOll_King_Guwop,1248,1357,1-0,Indian Game,A45,https://lichess.org/ey7rOAii,900+0,Time forfeit
Ryuzaky,ZainS,1343,1321,1-0,King's Pawn Game: Napoleon Attack,C20,https://lichess.org/I76qCmLw,300+5,Normal
mevikacci,beccorosso,1309,1319,0-1,Russian Game: Urusov Gambit,C42,https://lichess.org/pLEt0F08,1200+0,Normal
enrico19960,Rafaguty,1330,1469,0-1,Caro-Kann Defense: Hillbilly Attack,B00,https://lichess.org/zenMFVBZ,600+0,Normal
Lochpots7424,superraf,1303,1160,1-0,Philidor Defense #2,C41,https://lichess.org/o6w97ePX,240+5,Normal
Nickolai,ehlicay,1386,1078,1-0,Zukertort Opening: Queen's Gambit Invitation,A04,https://lichess.org/8I89n5LS,420+5,Normal
geo463,Blackout999,1355,1430,1-0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,https://lichess.org/vnBPFRbe,600+0,Normal
dom45,EnjoyThePie,1311,1278,0-1,Scotch Game,C44,https://lichess.org/iEbSXmeZ,180+0,Time forfeit
oduarte,ttwo,1214,1261,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/hTPuc6P8,300+0,Normal
ELMEXICANO,bah1333,1188,1595,0-1,Scandinavian Defense,B01,https://lichess.org/ZoTTCgH5,180+3,Normal
Bobbyfischertime,GladiadorAzteca,1271,1199,1-0,"Queen's Pawn Game: Veresov Attack, Alburt Defense",D00,https://lichess.org/AbX4bkBw,120+0,Time forfeit
masterxcvt,ankiar,1358,1295,1-0,French Defense: Advance Variation #3,C02,https://lichess.org/1kHgRbSB,600+5,Normal
NDoc13,OMR,1090,1330,0-1,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/QIV6YpeU,10800+0,Normal
dustan,CarlosGR,1244,1109,1-0,King's Pawn Game: Busch-Gass Gambit,C40,https://lichess.org/pneZal7e,1200+0,Normal
fiico,TheFlayer,1150,1170,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/1bwRTNJ1,240+5,Time forfeit
ElieWagner,heinrick,1156,1254,1-0,King's Pawn Game: Napoleon Attack,C20,https://lichess.org/gXKYfA3N,600+0,Normal
laguerrovick,junojunoy,1171,1519,0-1,Van Geet Opening,A00,https://lichess.org/IftJAeu5,300+2,Normal
LatrodeLux,njlynch,1238,1149,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/RA1HVdH9,90+2,Normal
DavidAjedrez,THM_7B6,1259,1275,0-1,Queen's Pawn Game #2,D00,https://lichess.org/9Ckqpo5P,1200+0,Time forfeit
darkseerak,pixelsandfrequencies,1264,1158,1-0,Amazon Attack,D00,https://lichess.org/wKNRG1t8,10800+1,Normal
dppzppln,reimaN,1237,1112,1-0,Nimzowitsch Defense: Williams Variation,B00,https://lichess.org/aoDLbdhd,780+4,Normal
Djhunts,geo0206,1443,1115,1-0,Queen's Gambit Accepted: Old Variation,D20,https://lichess.org/OfZdbE7H,300+0,Normal
Dorfbewohner,vijaypal_singh_rawat,1155,1206,0-1,Van't Kruijs Opening,A00,https://lichess.org/K2MvW8IC,300+0,Normal
Woob,Mnatek,1218,1193,0-1,Queen's Pawn Game #2,D00,https://lichess.org/TFuzP1ts,300+0,Normal
RadikalGuru,glandock,1328,1349,0-1,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/ah7QpFak,300+0,Normal
hatzopoulos,Eddie10,1271,1318,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/PQnvdcDg,900+0,Normal
chenesht,mike81,1169,1588,0-1,King's Pawn Game,C20,https://lichess.org/He5gMAQO,240+0,Time forfeit
SenseiStavi,TonyStonem,1161,1327,1-0,Queen's Pawn Game: Chigorin Variation,D02,https://lichess.org/CQRFSu8T,240+2,Time forfeit
Kokoko1,Tranqy,1407,1354,0-1,Queen's Gambit Accepted: Accelerated Mannheim Variation,D20,https://lichess.org/U5tWtY6G,300+0,Normal
pforoughmehr,Ofk,1019,1221,0-1,English Opening: Achilles-Omega Gambit,A10,https://lichess.org/a6FHFu0v,300+0,Normal
LTrain703,nabov,1202,1357,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/wSIL6g2E,120+0,Normal
FilWarrior,vman9999,1253,1414,1-0,Goldsmith Defense,B00,https://lichess.org/awhnyRTr,420+5,Normal
bidibule38,Eliges,1319,1150,1-0,Italian Game,C50,https://lichess.org/P9P3fJ4u,420+0,Normal
danber61,southerner,1181,1350,0-1,Bishop's Opening,C23,https://lichess.org/nEWbph1j,1200+0,Normal
Vladimir_Gorba,BlueRay,1001,1212,0-1,Modern Defense,B06,https://lichess.org/QmmyclpA,180+5,Normal
gokhein,prasas,1310,1358,1-0,King's Pawn Game: Napoleon Attack,C20,https://lichess.org/8cr5DZRQ,600+0,Normal
SCACCOSCOPERTA,Nodladomis,1450,1263,1-0,Queen's Pawn Game #2,D00,https://lichess.org/o6WEEnZF,300+0,Normal
ems5F,Vikess,1365,1268,0-1,Scotch Game,C44,https://lichess.org/LLf5iKEk,720+3,Time forfeit
RicaPachona,Alber_sabrosa,1061,1214,0-1,King's Pawn Game: Macleod Attack,C20,https://lichess.org/vghmVTT7,300+4,Time forfeit
Unit11,adardore,1117,1332,0-1,Philidor Defense #2,C41,https://lichess.org/8KbcIjLO,120+3,Normal
StefanMcGuinness,manzobear,1317,1273,0-1,Queen's Pawn Game: Symmetrical Variation,D02,https://lichess.org/3SHonkj4,120+0,Time forfeit
Re-bianco,Jomagi,1432,1285,0-1,Queen's Pawn Game: Chigorin Variation,D02,https://lichess.org/WT01r0Fh,300+0,Normal
IAmSai,Moonknight123,1175,1122,0-1,Queen's Pawn Game: Symmetrical Variation,D02,https://lichess.org/PH4OqWoy,1800+5,Time forfeit
LolaWeasley,santi7u7,1552,1153,1-0,St. George Defense,B00,https://lichess.org/nRHBvZ4P,300+1,Normal
abhorism,kixx,1216,1562,1-0,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/ZCdSRGPp,360+4,Normal
joservega,jahuba,1392,1383,1/2-1/2,Indian Game: Tartakower Attack,A45,https://lichess.org/2o36TqMw,720+6,Normal
posj,TAHASTANLY,1391,1395,0-1,Queen's Pawn,A41,https://lichess.org/QeQWAKVT,300+5,Normal
rafaelmoura,elverlek,1167,1568,0-1,Center Game: Kieseritzky Variation #4,C21,https://lichess.org/BWol5vFZ,180+0,Time forfeit
kulasekhara,Erik289,1333,1153,1-0,Ruy Lopez: Cozio Defense,C60,https://lichess.org/3bRKDGxH,300+8,Normal
walshark,pizale,1364,1224,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/aXZxzDuJ,900+0,Normal
nworbdier5,ORDABOSS,1198,1084,1-0,Sodium Attack,A00,https://lichess.org/CM2Ltj8B,600+10,Time forfeit
osvaldo_c_p,countchoc,1463,1320,1-0,Sicilian Defense,B50,https://lichess.org/7ICaVzMX,300+0,Normal
walterbetin,AceAcura,920,1155,1-0,Scandinavian Defense,B01,https://lichess.org/zfRF5XCF,900+0,Normal
leonsegui,megashira,1080,1103,1-0,Alekhine Defense: Maroczy Variation,B02,https://lichess.org/5ge0dtPZ,600+0,Normal
marren47,ivanol5,1166,1162,1-0,Philidor Defense #3,C41,https://lichess.org/zXtpHuNB,1800+5,Normal
bachibouzouk,kennythedentist,1469,1255,0-1,Bishop's Opening: Boi Variation,C20,https://lichess.org/3y113rrI,600+0,Time forfeit
kaspolsen2000,ykulisky,1332,1460,0-1,"King's Indian Defense: Normal Variation, King's Knight Variation",E60,https://lichess.org/YKcLvM6x,60+1,Normal
LarsR,Circa82,1461,1270,1-0,Caro-Kann Defense,B10,https://lichess.org/34vPaB1L,60+0,Time forfeit
minhotochoque,misplay,1224,1179,0-1,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/TXQZUXsW,180+0,Normal
valera1979,Learner2015,1376,1366,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/LsAoS6W9,1800+0,Normal
cristipb,bihotzsalataria,1263,1340,1-0,Russian Game: Three Knights Game,C42,https://lichess.org/plgQ630r,300+8,Normal
tahitivodicka,PURGATORIO1,1068,1283,0-1,King's Pawn Game: Busch-Gass Gambit,C40,https://lichess.org/GTV5txGV,300+0,Normal
yusiftheranger,Julikike,1284,1191,1-0,Modern Defense,A40,https://lichess.org/9FGKr0QW,360+0,Time forfeit
NickMalt,veky,1018,1694,0-1,Three Knights Opening,C46,https://lichess.org/eBNdSQ6a,1800+0,Time forfeit
Mijo30,Zwischenzug2015,1346,1453,0-1,Sicilian Defense: Chekhover Variation,B53,https://lichess.org/54Ha2BU3,120+0,Time forfeit
Yasakharika,zeharris,1447,1300,0-1,Queen's Pawn Game: Chigorin Variation,D00,https://lichess.org/xXOW1498,900+1,Normal
GabrielVinicios,julianmacondo,1513,1091,0-1,Nimzo-Indian Defense,E20,https://lichess.org/oLWyFwcZ,420+2,Time forfeit
Shiva_Ale,shayanpn,1246,1256,0-1,Bishop's Opening,C23,https://lichess.org/oey5Df3v,840+8,Normal
mrzz,Jonathan_Seagull,1314,1411,0-1,Grob Opening,A00,https://lichess.org/ZAY9Ttfn,600+0,Normal
kjevinnn54,Gjorgjo,1289,1343,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/X7nKnv8J,600+0,Normal
Vitaliy2016666,edia10,1279,1316,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/oYeHrmSm,180+5,Normal
francisfrancis,Rinaldo1,1240,1360,0-1,Queen's Pawn Game: Symmetrical Variation,D02,https://lichess.org/bOcjVWNr,300+0,Time forfeit
waldan,RyukSmit,1236,1202,0-1,Queen's Gambit Accepted,D20,https://lichess.org/3WyqZKbU,300+0,Normal
hugo50000,fatalrhyme,1752,950,1-0,Vienna Game: Vienna Gambit,C25,https://lichess.org/f83xHHzI,300+0,Normal
bk33,CapitalWolf,1509,1110,1-0,King's Pawn Game: Busch-Gass Gambit,C40,https://lichess.org/MzlQ9Zhs,600+0,Normal
Antoniocjr1988,bonco,1350,1386,1-0,Queen's Gambit Accepted,D20,https://lichess.org/BH178vCK,900+0,Normal
Alex_12345,hennagirl,1465,1229,1-0,"Caro-Kann Defense: Advance Variation, Short Variation",B12,https://lichess.org/DtmV2mGv,300+0,Normal
StoCazzooo,Geralt00,874,1074,0-1,Ruy Lopez: Steinitz Defense,C62,https://lichess.org/xrg6U3VZ,300+0,Time forfeit
l4kraa2,aseeron,1089,1153,0-1,Philidor Defense: Nimzowitsch Variation,C41,https://lichess.org/xuANSfSS,60+1,Time forfeit
Fireball19,Jeroen94,996,1338,0-1,Queen's Pawn Game,D00,https://lichess.org/6wTY1CvP,300+3,Normal
Fabio77,toredo,1544,1244,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/TfKxmIy5,300+5,Normal
gib_din_puur,guguz1nh0,1094,1317,1-0,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",C20,https://lichess.org/ANIyZt0y,600+0,Normal
dzikasarna,Ryan_Later,1146,1138,0-1,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/NUlYilN4,180+2,Normal
GeraldSam,AntoniusBl0ck,1258,1463,1-0,St. George Defense,B00,https://lichess.org/gELR8tQM,420+0,Normal
korsox,lichtenstein,1122,1456,0-1,Sicilian Defense,B20,https://lichess.org/MmeM1FI8,180+0,Time forfeit
Ghiri,BIXIGA,1281,1454,0-1,Kadas Opening,A00,https://lichess.org/DGAdEigw,300+3,Normal
marioporras,UncleJoeyLovesYa,1256,1156,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/goJ6UVXh,600+0,Normal
newsimbol,Aseric,1526,1194,1-0,Bishop's Opening,C23,https://lichess.org/JOTE3V0W,0+4,Normal
TreborTau,Malini11,1333,1156,1-0,Mikenas Defense,A40,https://lichess.org/34p5uG2s,300+8,Time forfeit
